Date,Open,High,Low,Close,Adj Close,Volume,DayOfTheWeek,WeekOf
2014-07-24,198.830002,199.059998,198.449997,198.649994,168.00589,56888000.0,Thursday,7/21/14
2014-07-25,198.089996,198.259995,197.330002,197.720001,167.219299,76837000.0,Friday,7/21/14
2014-07-28,197.759995,198.089996,196.619995,197.800003,167.286957,69259000.0,Monday,7/28/14
2014-07-31,195.610001,195.779999,192.970001,193.089996,163.303619,183479000.0,Thursday,7/28/14
2014-08-01,192.559998,193.759995,191.570007,192.5,162.804581,189261000.0,Friday,7/28/14
2014-08-04,192.869995,194.300003,192.050003,193.889999,163.980194,91340000.0,Monday,8/4/14
2014-08-07,192.940002,193.130005,190.550003,191.029999,161.56134,135733000.0,Thursday,8/4/14
2014-08-08,191.460007,193.369995,190.949997,193.240005,163.430435,117014000.0,Friday,8/4/14
2014-08-11,193.970001,194.660004,193.710007,193.800003,163.904068,74544000.0,Monday,8/11/14
2014-08-14,195.160004,195.759995,194.979996,195.759995,165.561707,57371000.0,Thursday,8/11/14
2014-08-15,196.470001,196.649994,194.309998,195.720001,165.527847,139951000.0,Friday,8/11/14
2014-08-18,196.800003,197.449997,196.690002,197.360001,166.914856,75424000.0,Monday,8/18/14
2014-08-21,199.089996,199.759995,198.929993,199.5,168.724777,67791000.0,Thursday,8/18/14
2014-08-22,199.339996,199.690002,198.740005,199.190002,168.462616,76107000.0,Friday,8/18/14
2014-08-25,200.139999,200.589996,199.149994,200.199997,169.316803,63855000.0,Monday,8/25/14
2014-08-28,199.589996,200.270004,199.389999,200.139999,169.266052,58330000.0,Thursday,8/25/14
2014-08-29,200.449997,200.729996,199.820007,200.710007,169.748047,65907000.0,Friday,8/25/14
2014-09-02,200.970001,201.0,199.860001,200.610001,169.663574,72426000.0,Tuesday,9/1/14
2014-09-04,200.839996,201.580002,199.660004,200.210007,169.325256,85236000.0,Thursday,9/1/14
2014-09-05,200.169998,201.190002,199.410004,201.110001,170.086411,102177000.0,Friday,9/1/14
2014-09-08,200.919998,201.210007,200.0,200.589996,169.646606,64146000.0,Monday,9/8/14
2014-09-11,199.270004,200.330002,199.119995,200.300003,169.401321,66774400.0,Thursday,9/8/14
2014-09-12,200.100006,200.119995,198.559998,199.130005,168.411819,117409300.0,Friday,9/8/14
2014-09-15,199.160004,199.320007,198.380005,198.979996,168.284912,76401000.0,Monday,9/15/14
2014-09-18,201.360001,201.850006,201.100006,201.820007,170.686874,94990000.0,Thursday,9/15/14
