Date,Open,High,Low,Close,Adj Close,Volume
10/26/21,457.200012,458.48999,455.559998,455.959991,442.201996,56075100
10/27/21,456.450012,457.160004,453.859985,453.940002,440.242981,72438000
10/28/21,455.459991,458.399994,455.450012,458.320007,444.490784,51437900
10/29/21,455.869995,459.559998,455.559998,459.25,445.3927,70162400
11/1/21,460.299988,460.700012,458.200012,460.040009,446.158905,48433600
11/2/21,460.220001,462.230011,460.079987,461.899994,447.962738,48908400
11/3/21,461.299988,465.149994,460.829987,464.720001,450.697662,52509800
11/4/21,465.359985,467,464.98999,466.910004,452.821594,52847100
11/5/21,469.279999,470.649994,466.920013,468.529999,454.3927,66390600
11/8/21,469.700012,470.230011,468.200012,468.929993,454.78064,50405200
11/9/21,469.320007,469.570007,465.880005,467.380005,453.277405,51149100
11/10/21,465.579987,467.380005,462.040009,463.619995,449.630829,69429700
11/11/21,465.209991,465.290009,463.75,463.769989,449.776306,34848500
11/12/21,465.119995,467.859985,464.109985,467.269989,453.170715,53466700
11/15/21,468.640015,468.809998,466.230011,467.429993,453.325867,46980500
11/16/21,467.149994,470.48999,467.070007,469.279999,455.120117,48857500
11/17/21,469,469.190002,467.480011,468.140015,454.014496,47858300
11/18/21,469.23999,470.01001,466.339996,469.730011,455.556519,50625600
11/19/21,469.609985,470.940002,468.5,468.890015,454.741852,57315600
11/22/21,470.890015,473.540009,467.350006,467.570007,453.46167,72762000
11/23/21,467.220001,469.100006,464.450012,468.190002,454.062988,73206500
11/24/21,466.059998,469.570007,465.190002,469.440002,455.275238,61858800
11/26/21,462.339996,463.899994,457.769989,458.970001,445.121216,112669600
11/29/21,464.070007,466.559998,461.730011,464.600006,450.581329,86268800
11/30/21,462,464.029999,455.299988,455.559998,441.814117,148559600
12/1/21,461.640015,464.670013,450.290009,450.5,436.906738,131939200
12/2/21,450.730011,459.070007,450.309998,457.399994,443.598541,127637800
12/3/21,459.170013,460.299988,448.920013,453.420013,439.738617,137331600
12/6/21,456.130005,460.790009,453.559998,458.790009,444.946594,98977500
12/7/21,464.410004,468.880005,458.649994,468.279999,454.150269,95484700
12/8/21,468.700012,470,466.829987,469.519989,455.352844,72238800
12/9/21,468.149994,469.630005,466.140015,466.350006,452.278473,61272600
12/10/21,469.230011,470.899994,466.51001,470.73999,456.536011,77159800
12/13/21,470.190002,470.559998,466.269989,466.570007,452.491882,87724700
12/14/21,463.089996,465.73999,460.25,463.359985,449.378723,97264100
12/15/21,463.420013,470.859985,460.73999,470.600006,456.400238,116899300
12/16/21,472.570007,472.869995,464.799988,466.450012,452.375488,116568600
12/17/21,461.549988,464.73999,458.059998,459.869995,447.560883,135511600
12/20/21,454.480011,455.399994,451.140015,454.980011,442.801849,107134800
12/21/21,458.609985,463.209991,456.309998,463.059998,450.665497,69806300
12/22/21,462.790009,467.809998,462.579987,467.690002,455.1716,58890200
12/23/21,468.75,472.190002,468.640015,470.600006,458.003693,56439700
12/27/21,472.059998,477.309998,472.01001,477.26001,464.485413,56808600
12/28/21,477.720001,478.809998,476.059998,476.869995,464.105865,47274600
12/29/21,476.980011,478.559998,475.920013,477.480011,464.699554,54503000
12/30/21,477.929993,479,475.670013,476.160004,463.414856,55329000
12/31/21,475.640015,476.859985,474.670013,474.959991,462.246979,65237400
1/3/22,476.299988,477.850006,473.850006,477.709991,464.923431,72668200
1/4/22,479.220001,479.980011,475.579987,477.549988,464.76767,71178700
1/5/22,477.160004,477.980011,468.279999,468.380005,455.84317,104538900
1/6/22,467.890015,470.820007,465.429993,467.940002,455.414886,86858900
1/7/22,467.950012,469.200012,464.649994,466.089996,453.61441,85111600
1/10/22,462.700012,465.73999,456.600006,465.51001,453.049957,119362000
1/11/22,465.230011,469.850006,462.049988,469.75,457.176453,74303100
1/12/22,471.589996,473.200012,468.940002,471.019989,458.412445,67605400
1/13/22,472.190002,472.880005,463.440002,464.529999,452.096161,91173100
1/14/22,461.190002,465.089996,459.899994,464.720001,452.281067,95890900
1/18/22,459.73999,459.959991,455.309998,456.48999,444.271362,109709100
1/19/22,458.130005,459.609985,451.459991,451.75,439.658234,109357600
1/20/22,453.75,458.73999,444.5,446.75,434.792114,122379700
1/21/22,445.559998,448.059998,437.950012,437.980011,426.256836,202271200
1/24/22,432.029999,440.380005,420.76001,439.839996,428.067017,251783900
1/25/22,433.059998,439.720001,427.149994,434.470001,422.84079,167997300
1/26/22,440.720001,444.040009,428.859985,433.380005,421.779938,186391100
1/27/22,438.26001,441.589996,429.450012,431.23999,419.697266,149878300
1/28/22,432.679993,442,427.820007,441.950012,430.120575,164457400
1/31/22,441.23999,450.279999,439.809998,449.910004,437.867493,152251400
2/1/22,450.679993,453.630005,446.940002,452.950012,440.826172,123155400
2/2/22,455.5,458.119995,453.049988,457.350006,445.108368,117361000
2/3/22,450.950012,452.970001,445.709991,446.600006,434.646088,118024400
2/4/22,446.350006,452.779999,443.829987,448.700012,436.689911,118454400
2/7/22,449.51001,450.98999,445.850006,447.26001,435.288452,84472900
2/8/22,446.730011,451.920013,445.220001,450.940002,438.869934,81012000
2/9/22,455.220001,457.880005,455.01001,457.540009,445.293274,92589900
2/10/22,451.339996,457.709991,447.200012,449.320007,437.293304,140103700
2/11/22,449.410004,451.609985,438.940002,440.459991,428.670441,153214600
2/14/22,439.920013,441.600006,435.339996,439.019989,427.268951,123006300
2/15/22,443.730011,446.279999,443.179993,446.100006,434.159515,88482700
2/16/22,443.929993,448.059998,441.940002,446.600006,434.646088,84863600
2/17/22,443.220001,446.570007,436.420013,437.059998,425.361389,102259100
2/18/22,437.329987,438.660004,431.820007,434.230011,422.607178,132642900
2/22/22,431.890015,435.5,425.859985,429.570007,418.07193,124391800
2/23/22,432.660004,433.26001,421.350006,421.950012,410.655884,132578000
2/24/22,411.019989,428.76001,410.640015,428.299988,416.835876,213942900
2/25/22,429.609985,437.839996,427.859985,437.75,426.032928,121804500
2/28/22,432.029999,438.200012,430.700012,436.630005,424.942932,145615000
3/1/22,435.040009,437.170013,427.109985,429.980011,418.470947,137785900
3/2/22,432.369995,439.720001,431.570007,437.890015,426.16925,117726500
3/3/22,440.470001,441.109985,433.799988,435.709991,424.047577,105501700
3/4/22,431.75,433.369995,427.880005,432.170013,420.602356,113978200
3/7/22,431.549988,432.299988,419.359985,419.429993,408.203339,137896600
3/8/22,419.619995,427.209991,415.119995,416.25,405.108459,164772700
3/9/22,425.140015,429.51001,422.820007,427.410004,415.969757,116990800
3/10/22,422.519989,426.429993,420.440002,425.480011,414.0914,93972700
3/11/22,428.119995,428.769989,419.529999,420.070007,408.826202,95636300
3/14/22,420.890015,424.549988,415.790009,417,405.838379,95729200
3/15/22,419.769989,426.839996,418.420013,426.170013,414.762909,106219100
3/16/22,429.890015,435.679993,424.799988,435.619995,423.959961,144954800
3/17/22,433.589996,441.070007,433.190002,441.070007,429.264099,102676900
3/18/22,438,444.859985,437.220001,444.519989,433.965729,106345500
3/21/22,444.339996,446.459991,440.679993,444.390015,433.838867,88349800
3/22/22,445.859985,450.579987,445.859985,449.589996,438.915375,74650400
3/23/22,446.910004,448.48999,443.709991,443.799988,433.262848,79426100
3/24/22,445.940002,450.5,444.76001,450.48999,439.793976,64736900
3/25/22,451.160004,452.980011,448.429993,452.690002,441.941742,77101300
3/28/22,452.059998,455.910004,450.059998,455.910004,445.085358,68529800
3/29/22,460.019989,462.070007,457.179993,461.549988,450.5914,86581500
3/30/22,460.339996,461.200012,456.470001,458.700012,447.809113,79666900
3/31/22,457.890015,458.76001,451.160004,451.640015,440.916718,121699900
4/1/22,453.309998,453.459991,449.140015,452.920013,442.166351,89048800
4/4/22,453.130005,456.910004,452.26001,456.799988,445.954193,59601000
4/5/22,455.220001,457.829987,449.820007,451.029999,440.321167,74214500
4/6/22,446.890015,448.929993,443.470001,446.519989,435.918274,106898000
4/7/22,445.589996,450.690002,443.529999,448.769989,438.114838,78097200
4/8/22,447.970001,450.630005,445.940002,447.570007,436.943329,79272700
4/11/22,444.109985,445,439.390015,439.920013,429.474976,89770500
4/12/22,443.079987,445.75,436.649994,438.290009,427.883667,84363600
4/13/22,438.029999,444.109985,437.839996,443.309998,432.784454,74070400
4/14/22,443.549988,444.730011,437.679993,437.790009,427.395508,97869500
4/18/22,436.809998,439.75,435.609985,437.970001,427.571289,66002500
4/19/22,437.859985,445.799988,437.679993,445.040009,434.473389,77821000
4/20/22,446.920013,447.570007,443.480011,444.709991,434.151245,65224400
4/21/22,448.540009,450.01001,437.100006,438.059998,427.659149,85417300
4/22/22,436.910004,438.079987,425.440002,426.040009,415.9245,132471800
4/25/22,423.670013,428.690002,418.839996,428.51001,418.335938,119647700
4/26/22,425.829987,426.040009,416.070007,416.100006,406.220581,103996300
4/27/22,417.23999,422.920013,415.01001,417.269989,407.362762,122030000
4/28/22,422.290009,429.640015,417.600006,427.809998,417.652466,105449100
4/29/22,423.589996,425.869995,411.209991,412,402.217896,145491100
5/2/22,412.070007,415.920013,405.019989,414.480011,404.639008,158312500
5/3/22,415.01001,418.929993,413.359985,416.380005,406.493896,100028200
5/4/22,417.079987,429.660004,413.709991,429.059998,418.872833,144247900
5/5/22,424.549988,425,409.440002,413.809998,403.984894,172929100
5/6/22,411.100006,414.799988,405.730011,411.339996,401.573547,151770800
5/9/22,405.100006,406.410004,396.5,398.170013,388.716248,155586100
5/10/22,404.48999,406.079987,394.820007,399.089996,389.61441,132497200
5/11/22,398.070007,404.040009,391.959991,392.75,383.424927,142361000
5/12/22,389.369995,395.799988,385.149994,392.339996,383.024628,125090800
5/13/22,396.709991,403.179993,395.609985,401.720001,392.181976,104174400
5/16/22,399.980011,403.970001,397.600006,400.089996,390.590637,78622400
